"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"80","RT @VBGooners: #Virginia is Ì†ΩÌ¥¥.

#WeAreTheArsenal #Arsenal #AFCvTHFC #ARSTOT #COYG #FOYS #VCC #NLD #VIFG https://t.co/fzVQ2O1hfY",FALSE,0,NA,2017-11-16 18:02:12,FALSE,NA,"931220876258959360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Toocool105",9,TRUE,FALSE,NA,NA,"In my mind","en","http://pbs.twimg.com/profile_images/910082857984516096/DLhMPXAn_normal.jpg"
"81","RT @arseblognews: New: Wenger: It‚Äôs about efficiency, not toughness https://t.co/BJbXTHgU7m #arsenal #afc https://t.co/9cahO2AcgW",FALSE,0,NA,2017-11-16 18:01:57,FALSE,NA,"931220810458632194",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gooner_n123",4,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/504389087441080320/zgIvaH-c_normal.jpeg"
"82","Who¬¥s gonna win? LIKE: @Arsenal                                RT: @SpursOfficial 
#ARSTOT #AFC #ARSENAL #SPURS‚Ä¶ https://t.co/G4Ym8X8qRT",FALSE,0,NA,2017-11-16 18:01:09,TRUE,NA,"931220610046361600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mysliveczech",0,FALSE,FALSE,NA,NA,"Prague, Czech Republic","en","http://pbs.twimg.com/profile_images/930170536877051904/0CrHxM2a_normal.jpg"
"83",".@UK_Music 'remains wholly unconvinced by a system which enables #Arsenal Football Club‚Äôs #EmiratesStadium to recei‚Ä¶ https://t.co/IrHKmtGU6F",FALSE,2,NA,2017-11-16 18:00:43,TRUE,NA,"931220499627237376",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","M_magazinePRS",1,FALSE,FALSE,NA,NA,"M HQ, London","en","http://pbs.twimg.com/profile_images/752815051090825216/H5_tko-U_normal.jpg"
"84","888 New Customers

#Arsenal 12/1 #Tottenham 15/1

#ManUtd 3/1 #Newcastle 100/1

¬£5 Max - Paid In #FreeBets

Ì†ΩÌ¥ûT&amp;Cs‚û°Ô∏è‚Ä¶ https://t.co/7ASaOfsPrj",FALSE,0,NA,2017-11-16 18:00:25,TRUE,NA,"931220424263917569",NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","Puntfair",0,FALSE,FALSE,NA,NA,"England, United Kingdom","en","http://pbs.twimg.com/profile_images/902821340012453889/BaIlBjZN_normal.jpg"
"85","Arsene #Wenger has dismissed the idea that #Arsenal are underdogs for the #NorthLondonDerby against #Tottenham.... https://t.co/R3VnMVvenL",FALSE,0,NA,2017-11-16 18:00:07,FALSE,NA,"931220350016172032",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","seancardo",0,FALSE,FALSE,NA,NA,"Kenya","en","http://pbs.twimg.com/profile_images/721329519718756352/zUHqLUV4_normal.jpg"
"86","Great words from Iwobi on Santi. Can't wait for his comeback and the reception he gets! #Arsenal #Cazorla https://t.co/5MDZgrsZRU",FALSE,0,NA,2017-11-16 18:00:06,FALSE,NA,"931220347482984454",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","love_arsenal",0,FALSE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"87","When the manta rays nail the iphone, Malone now hangs a new Little Toot #soccer #football #epl #pl #MOTD #LIVSOU‚Ä¶ https://t.co/mvB163LZVF",FALSE,0,NA,2017-11-16 18:00:03,TRUE,NA,"931220332853321730",NA,"<a href=""http://test2.com"" rel=""nofollow"">Pragmatic Shearer</a>","Pragmatic_Alan",0,FALSE,FALSE,NA,NA,"United Kingdom","en","http://pbs.twimg.com/profile_images/929006712127967233/lGmkuO6m_normal.jpg"
"88","Arsene #Wenger has dismissed the idea that #Arsenal are underdogs for the #NorthLondonDerby against #Tottenham.‚Ä¶ https://t.co/IUoI6a0ydI",FALSE,0,NA,2017-11-16 18:00:01,TRUE,NA,"931220323751436288",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","seancardo",0,FALSE,FALSE,NA,NA,"Kenya","en","http://pbs.twimg.com/profile_images/721329519718756352/zUHqLUV4_normal.jpg"
"89","RT @BrandonTopps: NEW VID - We Hate These lot!"" A Must win game - NLD PREVIEW https://t.co/IgrljQC6ty via @YouTube #Arsenal #spurs #coyg",FALSE,0,NA,2017-11-16 17:59:02,FALSE,NA,"931220076744847360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Toocool105",6,TRUE,FALSE,NA,NA,"In my mind","en","http://pbs.twimg.com/profile_images/910082857984516096/DLhMPXAn_normal.jpg"
